OCID,CONTRACT_TITLE,CONTRACT_TYPE,PROCUREMENT_METHOD,BUYER_NAME,SUPPLIER_NAMES,CONTRACT_START_DATE,CONTRACT_END_DATE,CONTRACT_AMOUNT,CONTRACT_CURRENCY
41,Exploración minera Directa “El Verde Norte II” (26SO2013MD079),Permiso,Exploración minera,Secretaría de Medio Ambiente y Recursos Naturales,Minera María S.A. de C.V. ,2013,2024,676.435,Hectáreas
42,Exploración minera Directa “Santa Elena Porción Noroeste” (26SO2013MD167),Permiso,Exploración minera,Secretaría de Medio Ambiente y Recursos Naturales,Nusantara de Mexico S.A. de C.V.,2013,2024,3.045,Hectáreas
43,Exploración minera Directa “El Alacrán II” (26SO2018MD074),Permiso,Exploración minera,Secretaría de Medio Ambiente y Recursos Naturales,Minera Teck S.A de C.V.,2018,2024,156.277,Hectáreas
44,Exploración minera Directa “Extensión Este De Veta Santa Elena” (26SO2014MD056),Permiso,Exploración minera,Secretaría de Medio Ambiente y Recursos Naturales,Nusantara de Mexico S.A. de C.V.,2014,2024,8.469,Hectáreas
45,Exploración minera Directa “El Ermitaño” (26SO2014MD019),Permiso,Exploración minera,Secretaría de Medio Ambiente y Recursos Naturales,Nusantara de Mexico S.A. de C.V.,2014,2024,81.856,Hectáreas
46,Exploración minera Directa “El Sarape” (26SO2018MD150),Permiso,Exploración minera,Secretaría de Medio Ambiente y Recursos Naturales,Evrim Resources (Barbados) Ltd.,2018,2024,833.418,Hectáreas
47,Exploración minera Directa “Ampliación El Durazno” (26SO2014MD142),Permiso,Exploración minera,Secretaría de Medio Ambiente y Recursos Naturales,Nusantara de Mexico S.A. de C.V.,2014,2024,3.627,Hectáreas
48,Exploración minera Directa “Santa Elena Norte” (26SO2016MD025),Permiso,Exploración minera,Secretaría de Medio Ambiente y Recursos Naturales,Nusantara de Mexico S.A. de C.V.,2016,2024,22.751,Hectáreas
49,Exploración minera Directa “El Verde Norte” (26SO2012MD128),Permiso,Exploración minera,Secretaría de Medio Ambiente y Recursos Naturales,Minera María S.A. de C.V. ,2012,2024,158.175,Hectáreas
50,Exploración minera Directa “El Ermitaño Oeste” (26SO2016MD073),Permiso,Exploración minera,Secretaría de Medio Ambiente y Recursos Naturales,Nusantara de Mexico S.A. de C.V.,2016,2024,55.437,Hectáreas
51,Exploración minera Directa “Buenavista De Zinc II” (26SO2014MD129),Permiso,Exploración minera,Secretaría de Medio Ambiente y Recursos Naturales,Buenavista del Cobre S.A. de C.V.,2014,2024,428.358,Hectáreas
52,Exploración minera Directa “El Ermitaño Oeste II” (26SO2017MD042),Permiso,Exploración minera,Secretaría de Medio Ambiente y Recursos Naturales,Nusantara de Mexico S.A. de C.V.,2017,2024,239.992,Hectáreas
53,Mark 3 (232855),Concesión,Concesión minera,Secretaría de Economía,Minera Evrim S.A de C.V.,2018,2024,169,Hectáreas
54,Mark 2 (232856),Concesión,Concesión minera,Secretaría de Economía,Minera Evrim S.A de C.V.,2018,2024,3499.1383,Hectáreas
55,Mark 1 (232857),Concesión,Concesión minera,Secretaría de Economía,Minera Evrim S.A de C.V.,2018,2024,1713.5517,Hectáreas
56,Mark 1 Fraccion 1 (232858),Concesión,Concesión minera,Secretaría de Economía,Minera Evrim S.A de C.V.,2018,2024,5.7143,Hectáreas
57,Maria 54 (232231),Concesión,Concesión minera,Secretaría de Economía,Buenavista del Cobre S.A. de C.V.,2018,2024,1.4035,Hectáreas
58,Maria 55 (232232),Concesión,Concesión minera,Secretaría de Economía,Buenavista del Cobre S.A. de C.V.,2018,2024,20,Hectáreas
59,Lucero (232000),Concesión,Concesión minera,Secretaría de Economía,Minera Auricup S. de R.L. de C.V.,2018,2024,248,Hectáreas
60,Sierra Pinta (232056),Concesión,Concesión minera,Secretaría de Economía,Minera Auricup S. de R.L. de C.V.,2018,2024,1743.6815,Hectáreas
61,Sierra Pinta Iii (232057),Concesión,Concesión minera,Secretaría de Economía,Minera Auricup S. de R.L. de C.V.,2018,2024,1279.657,Hectáreas
62,Real De Cananea (231952),Concesión,Concesión minera,Secretaría de Economía,Minera Zampano S. de R.L. de C.V.,2018,2024,91,Hectáreas
63,Real De Cananea (231953),Concesión,Concesión minera,Secretaría de Economía,Minera Zampano S. de R.L. de C.V.,2018,2024,100,Hectáreas
64,Real De Cananea (231954),Concesión,Concesión minera,Secretaría de Economía,Minera Zampano S. de R.L. de C.V.,2018,2024,95,Hectáreas
65,Real De Cananea (231955),Concesión,Concesión minera,Secretaría de Economía,Minera Zampano S. de R.L. de C.V.,2018,2024,95,Hectáreas
66,Real De Cananea (231956),Concesión,Concesión minera,Secretaría de Economía,Minera Zampano S. de R.L. de C.V.,2018,2024,200,Hectáreas
67,Agua Nueva-I (231414),Concesión,Concesión minera,Secretaría de Economía,Minera Cascabel S.A. de C.V. ,2018,2024,100,Hectáreas
68,La Centella (231419),Concesión,Concesión minera,Secretaría de Economía,Minera Cascabel S.A. de C.V. ,2018,2024,1989.9843,Hectáreas
69,Cananea (231469),Concesión,Concesión minera,Secretaría de Economía,Buenavista del Cobre S.A. de C.V.,2018,2024,4729.2345,Hectáreas
70,Picacho Fracc. I (230553),Concesión,Concesión minera,Secretaría de Economía,Adit Resources Corp.,2018,2024,3813.2627,Hectáreas
71,Tercero 7 (230381),Concesión,Concesión minera,Secretaría de Economía,Desarrollos Mineros Parreña S.A de C.V.,2018,2024,26.6451,Hectáreas
72,Reforma 1 (230384),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,499.9578,Hectáreas
73,Reforma 3 (230389),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,14.1326,Hectáreas
74,Reforma 4 (230390),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,0.158,Hectáreas
75,El Ermitaðo 1 (230421),Concesión,Concesión minera,Secretaría de Economía,Minera Evrim S.A de C.V.,2018,2024,12267.5516,Hectáreas
76,Santa Elena (229986),Concesión,Concesión minera,Secretaría de Economía,Minera Hochschild Mexico S.A. de C.V.,2018,2024,500,Hectáreas
77,San Felipe 3 (230094),Concesión,Concesión minera,Secretaría de Economía,Minera Hochschild Mexico S.A. de C.V.,2018,2024,39.832,Hectáreas
78,El Cuervo (230189),Concesión,Concesión minera,Secretaría de Economía,Nusantara de Mexico S.A. de C.V.,2018,2024,100,Hectáreas
79,Paola (229409),Concesión,Concesión minera,Secretaría de Economía,Imr Metallurgical Resources Mexico,2018,2024,514.5756,Hectáreas
80,El Apuro (228838),Concesión,Concesión minera,Secretaría de Economía,Kennecott Minerals Inc.,2018,2024,16721.4582,Hectáreas
81,San Antonio (228941),Concesión,Concesión minera,Secretaría de Economía,Minera Genminmex S.A. de C.V.,2018,2024,3553.0927,Hectáreas
82,Argonauta 4 (229005),Concesión,Concesión minera,Secretaría de Economía,Minera Meridian Minerales S. de R.L. de C.V.,2018,2024,2127.0216,Hectáreas
83,San Felipe 2 Fracc. I (228603),Concesión,Concesión minera,Secretaría de Economía,Minera Hochschild Mexico S.A. de C.V.,2018,2024,14256.0509,Hectáreas
84,San Felipe 2 Fracc. II (228604),Concesión,Concesión minera,Secretaría de Economía,Minera Hochschild Mexico S.A. de C.V.,2018,2024,1.2039,Hectáreas
85,Tercera Ampl. Al Gachi (228333),Concesión,Concesión minera,Secretaría de Economía,Nusantara de Mexico S.A. de C.V.,2018,2024,1400,Hectáreas
86,Tercero (227998),Concesión,Concesión minera,Secretaría de Economía,Desarrollos Mineros Parreña S.A de C.V.,2018,2024,70.3602,Hectáreas
87,Coloraditas (227560),Concesión,Concesión minera,Secretaría de Economía,Desarrollos Mineros Parreña S.A de C.V.,2018,2024,664.0177,Hectáreas
88,El Sol F. 1 (227093),Concesión,Concesión minera,Secretaría de Economía,Minas del Rio Sonora S.A. de C.V.,2018,2024,28.5,Hectáreas
89,El Sol F. 2 (227094),Concesión,Concesión minera,Secretaría de Economía,Minas del Rio Sonora S.A. de C.V.,2018,2024,12,Hectáreas
90,Santa Elena 7 (227239),Concesión,Concesión minera,Secretaría de Economía,Nusantara de Mexico S.A. de C.V.,2018,2024,1868.3444,Hectáreas
91,Rey 2 (226800),Concesión,Concesión minera,Secretaría de Economía,Desarrollos Mineros Parreña S.A de C.V.,2018,2024,58.5171,Hectáreas
